geography,selected_model,model_family,holdout_mape,forecast_start_year,forecast_end_year,forecast_start_billions,forecast_end_billions
Michigan,prophet,time_series,7.08,2026,2035,27.01,36.64
United States,prophet,time_series,0.74,2026,2035,1096.59,1719.6
