fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2016,Wyoming,state,57,55,2,1,0,1,1,1,0,11,1435972.75,107632.18,,1328340.57,0,493573.76,637273743,4
2017,Alabama,state,59,37,22,15,11,4,14,11,3,9,1105393.94,280591.66,,824802.28,0,1256505.53,5799830460,9
2017,Alaska,state,107,104,3,24,24,0,8,8,0,3,179177.22,101001.70,,33175.52,45000,1524623.56,2083665781,12
2017,Arizona,state,185,152,33,76,58,18,40,25,15,12,13369938.39,165906.36,,13204032.03,0,3308088.23,12100681031,23
2017,Arkansas,state,178,111,67,15,12,3,21,21,0,30,2849935.82,1420461.12,,612815.05,816659.65,2233870.84,6763173651,21
2017,California,state,1791,1175,616,269,175,94,188,144,44,43,97582606.56,13171363.69,,54563107.33,29848135.54,39075822.72,88664592580,206
2017,Colorado,state,268,254,14,11,9,2,7,7,0,30,1874893.87,90776.60,,1734653.31,49463.96,2281978.63,8186563706,16
2017,Connecticut,state,84,83,1,3,3,0,5,5,0,15,13978321.84,1717540.82,,12012269.46,248511.56,2257034.87,7820846438,11
2017,Delaware,state,632,612,20,20,5,15,23,8,15,10,2506020.26,179876.75,,2326143.51,0,2059328.02,2260921363,18
2017,District of Columbia,district,197,179,18,0,0,0,2,2,0,12,2087750.12,108000,,1979750.12,0,2798266,2960762273,19
2017,Florida,state,722,652,70,73,54,19,61,54,7,38,95012845.05,12512889.03,,37385373.92,45114582.10,17456833.20,23922618501,158
2017,Georgia,state,514,500,14,10,9,1,18,15,3,25,529713373.45,7879118.41,,3973967.31,517860287.73,5024484.08,10651082478,45
2017,Hawaii,state,434,394,40,6,4,2,3,1,2,10,1665860.87,18278.64,,1641392.64,6189.59,1694351.30,2447902930,15
2017,Idaho,state,138,130,8,6,5,1,4,3,1,8,1819661.11,25893.18,,1793767.93,0,801511.63,1929225434,8
2017,Illinois,state,383,340,43,55,49,6,51,39,12,22,27819728.22,4067190.63,,20393364.76,3359172.83,7816290.06,16064148838,45
2017,Indiana,state,1394,912,482,41,34,7,23,18,5,20,24167626.40,828026.68,,5276640.07,18062959.65,6529209.25,11640235955,54
2017,Iowa,state,354,317,37,65,28,37,57,27,30,19,4794433.63,167733.63,,1647266.11,2979433.89,1083914.97,4241347370,8
2017,Kansas,state,195,168,27,16,11,5,8,7,1,12,2461977.64,630590.43,,1043167.21,788220,1447929.27,3428196561,15
2017,Kentucky,state,136,105,31,19,15,4,19,13,6,15,25473342.02,1268823.79,,3432193.07,20772325.16,3509043.22,9781447988,30
2017,Louisiana,state,485,404,81,71,53,18,68,56,12,16,16825151,9263298,,5834595,1727258,7179440,11254127721,67
2017,Maine,state,102,80,22,16,8,8,12,7,5,14,3171102.01,95042.44,,2946001.34,130058.23,906905.77,2734525913,9
2017,Maryland,state,362,321,41,28,18,10,8,2,6,33,4552786.48,305507.77,,2766254.59,1481024.12,4373661.43,11610123766,35
2017,Massachusetts,state,534,473,61,10,10,0,5,5,0,31,10154847.57,590660.09,,4120473.63,5443713.85,5649679,18147855201,41
2017,Michigan,state,437,386,51,30,20,10,24,22,2,48,7171551.74,901241.78,,4361844.21,1908465.75,3725402.01,17365499168,31
2017,Minnesota,state,335,331,4,73,72,1,47,46,1,12,6930718.88,1814657.24,,1116061.64,4000000,2702822.24,12081776986,28
2017,Mississippi,state,636,117,519,46,9,37,53,5,48,11,9405719.67,9067129.75,,259652.08,78937.84,3268870,5677039303,36
2017,Missouri,state,178,154,24,9,7,2,9,7,2,17,25613919.37,10995920.55,,11469581.80,3148417.02,2351268.54,10527739876,24
2017,Montana,state,74,62,12,3,3,0,6,5,1,12,532900.66,351272.09,,178170.98,3457.59,824173.52,1866570114,8
2017,Nebraska,state,98,92,6,8,7,1,5,4,1,18,2091963.56,169417.08,,887824.60,1034721.88,989888.17,2164504143,10
2017,Nevada,state,437,433,4,15,12,3,15,14,1,19,4002525.90,390566.55,,892095.85,2719863.50,2127046.84,3716635489,17
2017,New Hampshire,state,65,38,27,7,2,5,4,1,3,14,738734.37,310,,712364.03,26060.34,761236.54,2163399761,7
2017,New Jersey,state,436,405,31,15,6,9,13,9,4,15,6862005.44,2583205,,4278800.44,0,3966531.98,15565737636,30
2017,New Mexico,state,220,207,13,7,7,0,3,3,0,21,1712900.35,8738.97,,992624,711537.38,2681855.90,5020119695,23
2017,New York,state,760,640,120,111,79,32,118,70,48,74,132095792.05,27762147.58,,61499155.55,42834488.92,49583121.29,78563137293,299
2017,North Carolina,state,365,362,3,3,3,0,17,14,3,21,30577962.91,18432938.24,,3212651.67,8932373,6084052.12,14011600177,49
2017,Ohio,state,1336,894,442,168,121,47,155,123,32,20,25805602.45,20879345.39,,4583899.61,342357.45,12111876.29,23988555231,95
2017,Oklahoma,state,270,207,63,17,7,10,29,19,10,16,4140006.88,2406043.97,,1572461.38,161501.53,2265247,4839553798,28
2017,Oregon,state,87,82,5,52,50,2,45,41,4,11,8143439.04,3146365.19,,4997073.85,0,2543190.40,8826395049,15
2017,Pennsylvania,state,487,462,25,105,103,2,90,84,6,13,13767733.34,11612309.29,,2155424.05,0,8293636.06,29083711619,62
2017,Rhode Island,state,97,82,15,4,2,2,10,6,4,9,603039.66,303145.75,,272893.91,27000,1391749.12,2786350493,12
2017,South Carolina,state,179,130,49,17,12,5,13,9,4,19,13229597.47,1405895.48,,8544963.12,3278738.87,1554841.92,6268421251,15
2017,South Dakota,state,50,46,4,2,1,1,3,0,3,15,180720.08,5472.60,,173247.48,2000,437121.41,902719239,4
2017,Tennessee,state,227,205,22,35,26,9,16,8,8,24,18270732.06,5640062.61,,8750716.78,3879952.67,4739840.68,9661478672,38
2017,Texas,state,1335,1194,141,108,98,10,137,128,9,17,534055130.52,518651545.83,,6404664.16,8998920.53,21751951.87,37152558007,164
2017,Utah,state,152,120,32,14,8,6,6,2,4,2,934994,153602,,778074,3318,2073402.81,2589750289,13
2017,Vermont,state,71,62,9,5,5,0,7,5,2,15,7264139,243566,,134942,6885631,1009972.30,1742676601,8
2017,Virginia,state,408,408,0,42,42,0,41,40,1,26,30422785.13,1273508.97,,24867683.04,4281593.12,10960875.43,9458031224,91
2017,Washington,state,294,284,10,4,4,0,5,5,0,18,2885264.30,55063.62,,2160591.54,669609.14,4787022,12606903927,37
2017,West Virginia,state,154,142,12,10,8,2,5,4,1,15,5769428.26,103075.03,,3197324.63,2469028.60,1159292.12,4157807522,11
2017,Wisconsin,state,238,224,14,1,1,0,1,1,0,22,24336396,19370,,4517026,19800000,1481973.82,8503112507,13
2017,Wyoming,state,33,30,3,1,1,0,6,4,2,10,614032.90,107832.18,,503181.72,3019,467505.59,648699099,4
2018,Alabama,state,59,45,14,11,9,2,18,10,8,8,7827694.49,2232439.78,,5595254.71,0,1315157.44,5768025506,10
2018,Alaska,state,158,148,10,20,20,0,8,8,0,5,2703915.69,85885.61,,568638,2049392.08,1737871.62,2196000353,12
2018,Arizona,state,206,170,36,83,74,9,63,56,7,8,11973830.19,835167.96,,11138662.23,0,3482650.06,12406620828,27
2018,Arkansas,state,214,124,90,36,12,24,28,14,14,30,6639874.10,530413.52,,5400464.33,708996.25,2377754.21,6709044022,21
2018,California,state,1766,1200,566,222,146,76,186,113,73,22,15373634.78,6176648.82,,4592861.35,4604124.61,44507337.13,88895768297,205
2018,Colorado,state,333,302,31,11,8,3,7,6,1,35,6797290.86,77227.79,,6410054.55,310008.52,2373031.08,9337178911,15
2018,Connecticut,state,85,83,2,3,3,0,6,6,0,14,6497861.34,3250400.66,,539460.78,2707999.90,2246843.21,8570841507,12
2018,Delaware,state,601,577,24,12,7,5,14,4,10,12,2373578.61,8580.19,,2054119.50,310878.92,2059739.24,2327046971,17
2018,District of Columbia,district,101,95,6,8,5,3,4,4,0,11,9731625.36,9566823.56,,164018.44,783.36,2770143.32,2976558441,17
2018,Florida,state,667,595,72,55,43,12,49,37,12,16,69215336.58,59776527.70,,3334425.55,6104383.33,18661080.55,23747162235,151
2018,Georgia,state,522,513,9,24,20,4,14,13,1,34,27184014.74,1363273.54,,21897076.11,3923665.09,4810189.63,11398504876,44
2018,Hawaii,state,472,429,43,7,7,0,4,3,1,11,754357.33,37670.98,,657198.15,59488.20,2168237.35,2311151261,16
2018,Idaho,state,135,132,3,3,3,0,2,2,0,8,370510.31,6135.93,,364374.38,0,928206.19,2024439472,9
2018,Illinois,state,388,335,53,56,47,9,49,42,7,19,6429593.76,2934899.70,,2037952.64,1456741.42,7815423.84,23112241735,42
2018,Indiana,state,1181,866,315,41,38,3,31,28,3,20,22936756.77,12430988.08,,9837480.75,668287.94,6639937.69,11796378211,58
2018,Iowa,state,372,331,41,59,26,33,50,25,25,17,4752976.80,491379.28,,3782658.64,478938.88,1066129.74,4992488405,9
2018,Kansas,state,240,164,76,25,10,15,13,11,2,4,282381.02,156629.11,,125751.91,0,1634665.60,3603034923,15
2018,Kentucky,state,147,118,29,21,12,9,16,13,3,17,31611155.07,13938658.18,,13937542.41,3734954.48,3495480.05,10114058416,29
2018,Louisiana,state,527,446,81,74,66,8,77,65,12,18,11019438.89,1686841.04,,8714689.71,617908.14,7303057.48,11222709411,67
2018,Maine,state,99,83,16,12,8,4,17,8,9,7,1647681.86,37036.42,,79868.70,1530776.74,1076956.27,2841007872,9
2018,Maryland,state,396,364,32,13,10,3,17,16,1,32,15508772.66,407086.52,,11797353.14,3304333,4344751.29,11867520808,34
2018,Massachusetts,state,571,516,55,14,14,0,5,5,0,20,44691804.78,86449.48,,22761649.97,21843705.33,5810593,18699858030,42
2018,Michigan,state,439,389,50,13,6,7,15,11,4,16,24596798.97,3008069.79,,20594284.61,994444.57,5114490.51,17085638296,30
2018,Minnesota,state,270,265,5,64,62,2,54,51,3,12,8428634,4549578.87,,2129055.13,1750000,2863917.13,13130373020,26
2018,Mississippi,state,666,111,555,59,6,53,60,6,54,14,12104380.88,1511171.32,,5377168.36,5216041.20,3526284,5443612233,34
2018,Missouri,state,174,154,20,16,13,3,13,12,1,10,2965595.25,1030155.16,,1546388.51,389051.58,2305744.16,10709689095,22
2018,Montana,state,81,73,8,3,3,0,7,5,2,8,1252900.04,50983.76,,1201916.28,0,825481.33,1920831782,8
2018,Nebraska,state,121,93,28,5,5,0,5,5,0,13,2803669.33,130008.94,,1890508.25,783152.14,1046918.22,2234101910,10
2018,Nevada,state,425,422,3,15,15,0,11,9,2,19,5485042.47,1353710.50,,3931029.86,200302.11,2003056.21,4127315581,16
2018,New Hampshire,state,79,46,33,1,1,0,2,0,2,2,1017724.86,0,,1016565.66,1159.20,775114.55,2273337486,8
2018,New Jersey,state,468,417,51,22,6,16,21,9,12,17,24011340.94,7793582.99,,15590574.61,627183.34,3722721.43,15706565267,26
2018,New Mexico,state,176,158,18,6,3,3,3,3,0,12,3941930.24,10452.32,,3533102.10,398375.82,2513182.99,5332964484,21
2018,New York,state,762,619,143,87,54,33,97,67,30,91,61709155.97,725944.29,,3423561.44,57559650.24,54691330.84,75262657182,304
2018,North Carolina,state,359,354,5,16,15,1,21,20,1,17,38494795.76,13827949.57,,23491849.03,1174997.16,5588968.81,14060675775,41
2018,Ohio,state,1284,867,417,166,107,59,148,99,49,21,32404737.51,10328937.64,,21911150.83,164649.04,12274547.42,22694958437,97
2018,Oklahoma,state,261,190,71,39,23,16,24,12,12,17,8727496.88,1422831.12,,6293203.27,1011462.49,2465829,4659329936,26
2018,Oregon,state,72,69,3,50,47,3,49,47,2,8,891325.78,598671.56,,210421.43,82232.79,2934088.93,9382904731,17
2018,Pennsylvania,state,503,470,33,164,156,8,105,103,2,10,22306796.60,3260707.12,,19046089.48,0,9107567.31,30758314287,58
2018,Rhode Island,state,100,81,19,8,7,1,3,3,0,10,3408544.88,307842.25,,3052540.82,48161.81,1373714.09,2783542978,11
2018,South Carolina,state,195,124,71,17,11,6,15,10,5,18,16455698.04,4646672.86,,2220957.51,9588067.67,1362868.85,6357022896,16
2018,South Dakota,state,43,43,0,4,2,2,4,2,2,7,1125284.65,131804,,639476.05,354004.60,420013.67,913990729,5
2018,Tennessee,state,221,199,22,22,15,7,30,26,4,20,50942916.91,5709325.27,,12830079.02,32403512.62,4968913.62,10301164426,38
2018,Texas,state,1319,1199,120,89,73,16,69,64,5,21,182511442.36,128843965.69,,49958654.85,3708821.82,22894422.83,38962764740,172
2018,Utah,state,162,122,40,16,5,11,14,7,7,13,982072,532299,,371838,77935,2092903,2578963871,13
2018,Vermont,state,84,62,22,11,11,0,10,10,0,6,2431252,265206,,1777853,388193,1043428.68,1769804444,9
2018,Virginia,state,385,385,0,52,52,0,27,27,0,19,14112278.09,5094773.83,,4421179.71,4596324.55,11525763.60,9934971320,86
2018,Washington,state,530,321,209,3,2,1,4,3,1,15,12343705.27,19713.35,,12250833.92,73158,5205464,12827331385,36
2018,West Virginia,state,112,105,7,7,5,2,4,4,0,8,1913941.59,770034.37,,961829.22,182078,1006092.06,3996923158,13
2018,Wisconsin,state,218,199,19,26,18,8,6,1,5,12,12568848,19741,,10480641,2068466,1484562.53,9180255127,13
2018,Wyoming,state,36,32,4,5,5,0,4,4,0,6,2909976.80,2283802.49,,626174.31,0,457082.35,669181828,4
2019,Alabama,state,79,64,15,6,6,0,6,6,0,7,8229347.97,12978.24,,8216369.73,0,1392417.67,6096457566,10
2019,Alaska,state,183,172,11,13,13,0,16,15,1,4,2609761,2368349,,241412,0,1671222.64,2243669019,12
2019,Arizona,state,239,198,41,84,76,8,70,62,8,5,7541097.83,688861.61,,6852236.22,0,3949181.56,13482090704,27
2019,Arkansas,state,150,108,42,25,18,7,28,20,8,30,5335184.54,763944.55,,4015177.31,556062.68,2676551.20,7243622415,22
2019,California,state,1800,1226,574,180,105,75,151,90,61,17,54573806.52,5273022.18,,544226.58,48756557.76,44861807.10,94100410374,199
2019,Colorado,state,445,399,46,15,14,1,9,7,2,19,22837463.33,1388637.65,,6897498.52,14551327.16,2166337.93,9526143614,16
2019,Connecticut,state,93,92,1,13,13,0,6,6,0,14,8561937.22,2499376.90,,2897026.70,3165533.62,2418252.52,8530550005,13
2019,Delaware,state,663,635,28,19,8,11,29,10,19,7,6749580.93,35631.07,,1478932.68,5235017.18,2197955.92,2346881663,17
2019,District of Columbia,district,92,86,6,11,9,2,7,6,1,8,13266186.91,13068024.08,,79129.57,119033.26,2899941.56,3122959135,19
2019,Florida,state,826,698,128,63,44,19,47,36,11,22,81248447.63,27735790.56,,19190948.10,34321708.97,17734741.21,25128795104,149
2019,Georgia,state,584,572,12,36,25,11,21,19,2,14,13086030.78,4243124.71,,5263933.82,3578972.25,4797058.25,11430130311,40
2019,Hawaii,state,488,460,28,6,3,3,6,4,2,6,4523470.09,3887687.50,,180919.71,454862.88,2181841.50,2280727854,16
2019,Idaho,state,152,149,3,7,7,0,4,4,0,5,1983968.24,42538.97,,1941429.27,0,927043.10,2266387357,9
2019,Illinois,state,454,408,46,30,20,10,49,37,12,11,146283349.91,2585595.85,,8602655.77,135095098.29,8004722.08,19359536579,44
2019,Indiana,state,1138,875,263,48,46,2,40,35,5,9,16417013.84,1680223.20,,1340592.19,13396198.45,7642679.59,12994381229,58
2019,Iowa,state,309,281,28,35,16,19,47,18,29,10,3527889.70,189555.66,,2999833.60,338500.44,1224729.09,5352358555,8
2019,Kansas,state,267,179,88,9,8,1,18,8,10,7,4756685.96,52857.13,,4091328.83,612500,1584083.66,3799701074,16
2019,Kentucky,state,165,136,29,22,15,7,17,10,7,17,26333549.02,3157780.12,,4256692.41,18919076.49,3536582.60,10510327124,30
2019,Louisiana,state,532,443,89,99,68,31,45,39,6,14,17967360.29,2291741.37,,2294766.92,13380852,7627551.14,12047327141,64
2019,Maine,state,89,67,22,25,19,6,18,17,1,8,207565.36,8649,,182452.36,16464,1176066.15,3018999938,9
2019,Maryland,state,271,246,25,8,6,2,12,10,2,20,7019613.67,1479262.88,,2258425.19,3281925.60,4646294.61,12254470541,39
2019,Massachusetts,state,597,562,35,3,3,0,13,13,0,29,23271440.68,485259.63,,2878993.93,19907187.12,5400900,18639531025,38
2019,Michigan,state,460,388,72,26,12,14,18,11,7,17,7002961.96,734463.77,,5687114.28,581383.91,5655914.73,18989101820,30
2019,Minnesota,state,268,252,16,69,58,11,66,65,1,9,13090914.49,10452879.77,,2329034.72,309000,3234446.61,13518929211,26
2019,Mississippi,state,863,111,752,34,6,28,54,4,50,10,2532776.43,146606.06,,2089846.51,296323.86,3467753,5681438980,37
2019,Missouri,state,200,179,21,29,27,2,24,23,1,14,28131754.26,9049315.21,,11038547.18,8043891.87,2369439.56,10910423751,24
2019,Montana,state,73,59,14,6,5,1,9,9,0,5,712384.56,86022.66,,249630.78,376731.12,838729.26,1952049204,7
2019,Nebraska,state,104,86,18,6,5,1,3,3,0,6,3163720.07,140239.20,,2968069.63,55411.24,1154465.92,2265518681,10
2019,Nevada,state,289,286,3,27,25,2,18,18,0,11,9685725.05,4452649.22,,4625694.15,607381.68,2447237.89,4179456063,17
2019,New Hampshire,state,78,40,38,4,2,2,6,1,5,4,772524.22,479970.76,,292553.46,0,857822.41,2127338051,8
2019,New Jersey,state,296,243,53,31,23,8,15,7,8,8,9710267.54,3062016.45,,6585751.09,62500,3976715.15,16850013509,30
2019,New Mexico,state,168,153,15,11,9,2,7,5,2,11,1373807.14,5682.72,,903214.66,464909.76,2829421.55,5491501664,21
2019,New York,state,717,615,102,70,46,24,86,56,30,67,68147253.35,1922411.59,,22860036.35,43364805.41,51800854.76,60209122828,293
2019,North Carolina,state,387,381,6,8,8,0,10,10,0,15,32661955.92,19381419.71,,8852431.48,4428104.73,5143054.65,14386105626,44
2019,Ohio,state,1359,898,461,210,148,62,166,108,58,18,31268289.32,20299862.62,,9914872.17,1053554.53,13009113.01,24509097994,97
2019,Oklahoma,state,266,191,75,15,5,10,26,14,12,13,17257749.38,1178982.93,,5770616.45,10308150,2349293.05,4964532785,25
2019,Oregon,state,67,64,3,22,21,1,26,24,2,5,1391582.08,474335.77,,917246.31,0,2974379.77,9938323199,14
2019,Pennsylvania,state,522,497,25,137,133,4,118,114,4,9,4734602.12,1251904.73,,3482697.39,0,9871366.92,32960926112,68
2019,Puerto Rico,territory,23,11,12,0,0,0,0,0,0,0,0,0,,0,0,479813.72,2609246749,14
2019,Rhode Island,state,86,73,13,10,5,5,5,5,0,10,702204.29,42306.03,,499618.37,160279.89,1197511.29,2765235479,10
2019,South Carolina,state,252,158,94,45,17,28,18,6,12,12,3390937.45,3195261.21,,70542.66,125133.58,1709809.41,6679680576,16
2019,South Dakota,state,59,55,4,1,0,1,1,0,1,9,464043.69,3736.25,,404397.57,55909.87,458162.73,949408952,5
2019,Tennessee,state,219,203,16,38,36,2,13,4,9,18,48499105.77,1634325.37,,12528505.95,34336274.45,5366355.85,10784219341,41
2019,Texas,state,1414,1280,134,68,62,6,72,63,9,6,155988735.44,144538869.16,,11446366.21,3500.07,23810780.36,41485923108,164
2019,U.S. Virgin Islands,territory,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,269725.86,151285234,1
2019,Utah,state,178,134,44,14,2,12,15,5,10,23,3610942,220265,,2299493,1091184,2135412,2901053155,11
2019,Vermont,state,71,51,20,5,3,2,5,5,0,10,1279198,53206,,441935,784057,1016671,1802147573,8
2019,Virginia,state,429,429,0,58,58,0,44,44,0,14,949535331.85,1207692.52,,948327639.33,0,12427380,5230112639,96
2019,Washington,state,359,330,29,8,4,4,16,14,2,18,10715081.14,6324.87,,6474041.81,4234714.46,7245808,10545245320,51
2019,West Virginia,state,120,108,12,5,3,2,5,5,0,17,19552517.66,0,,2272607.56,17279910.10,1198608.41,4109125440,13
2019,Wisconsin,state,168,150,18,9,7,2,21,16,5,9,28697472.44,810564.44,,11597581,16289327,1675894.61,9525056580,12
2019,Wyoming,state,42,39,3,4,3,1,1,0,1,7,6769167.46,6325672.36,,441759.02,1736.08,377147.07,661612272,3
2020,Alabama,state,55,47,8,3,3,0,3,0,3,8,4873356,25133,,4599490,248733,1450807,6310773261,10
2020,Alaska,state,203,184,19,7,7,0,11,11,0,6,3464347,1509155,,1201919,753273,1895090,2188557009,12
2020,Arizona,state,250,203,47,95,81,14,56,48,8,7,15525961,676705,,2953607,11895648,3808250,14671982216,26
2020,Arkansas,state,185,139,46,18,10,8,16,10,6,15,2460721,148584,,2186137,126000,2902425,7080208079,22
2020,California,state,1830,1234,596,104,75,29,93,69,24,25,56983518,23955367,,28856214,4171937,43421451,103886573080,185
2020,Colorado,state,486,421,65,16,6,10,14,12,2,25,4751573,1096590,,3271191,383792,2569759,10111347066,20
2020,Connecticut,state,113,112,1,6,6,0,2,2,0,18,24599831,977282,,20356519,3266030,2615312,8828397755,11
2020,Delaware,state,670,611,59,25,10,15,17,4,13,11,4077365,9514,,3606851,461000,2190363,2457762125,17
2020,District of Columbia,district,109,75,34,10,9,1,5,5,0,7,4847366,2213445,,2633921,0,3536247,3369959665,19
2020,Florida,state,845,659,186,37,21,16,27,16,11,23,15479391,1017019,,13456293,1006079,17516441,25934002549,137
2020,Georgia,state,608,570,38,4,4,0,18,17,1,24,23697695,2520270,,7924438,13252988,5015516,11824015543,46
2020,Hawaii,state,600,541,59,2,0,2,1,0,1,7,694731,6740,,607991,80000,2031137,2431846083,14
2020,Idaho,state,179,176,3,7,7,0,6,6,0,7,233355,27210,,193525,12620,870155,2615497366,9
2020,Illinois,state,523,470,53,14,9,5,20,18,2,12,28889705,2054409,,25333510,1501786,8640571,23327206246,42
2020,Indiana,state,948,788,160,62,56,6,34,33,1,13,16089126,2028857,,13061982,998287,7873145,14782137306,59
2020,Iowa,state,310,275,35,13,7,6,12,6,6,17,3894120,727406,,1115517,2051197,1051704,5963241908,7
2020,Kansas,state,292,183,109,3,1,2,9,7,2,6,850540,67807,,782733,0,1812979,4058615572,15
2020,Kentucky,state,210,179,31,5,2,3,8,7,1,15,32965744,614739,,25709971,6641034,3915670,12190888589,29
2020,Louisiana,state,522,407,115,54,35,19,34,21,13,18,19904196,2426653,,9862519,7615023,7830383,12905575681,67
2020,Maine,state,87,60,27,10,2,8,9,1,8,7,16084974,669402,,15415572,0,1270805,3355498470,9
2020,Maryland,state,338,319,19,4,3,1,3,3,0,17,35106576,555857,,33563884,986835,5258795,12425976656,35
2020,Massachusetts,state,599,570,29,14,11,3,2,2,0,30,50208325,4243133,,26541082,19424110,6110567,18927715647,38
2020,Michigan,state,471,430,41,16,6,10,20,8,12,25,15567043,222002,,15254461,90580,5419593,19779677237,31
2020,Minnesota,state,240,226,14,68,66,2,36,35,1,9,10542342,1968378,,8411887,162077,3211651,14364508821,25
2020,Mississippi,state,323,114,209,39,10,29,36,10,26,14,3917355,558125,,3041928,317302,3186244,5769034193,35
2020,Missouri,state,216,167,49,34,27,7,25,24,1,12,9459042,1856082,,5776538,1826421,2453267,11335088386,22
2020,Montana,state,83,69,14,8,3,5,8,5,3,7,812998,443136,,369862,0,678503,2094512201,6
2020,Nebraska,state,92,67,25,7,4,3,8,7,1,10,1552196,853169,,277188,421839,1227186,2458632699,10
2020,Nevada,state,309,304,5,15,15,0,13,12,1,14,5157562,1845594,,2692957,619011,2486381,4315178538,17
2020,New Hampshire,state,56,39,17,4,4,0,3,1,2,10,2303324,111425,,2186285,5613,798163,2370525838,6
2020,New Jersey,state,362,298,64,6,3,3,12,7,5,9,17105221,59830,,17045391,0,3973143,17475504898,29
2020,New Mexico,state,286,274,12,11,11,0,8,7,1,10,6449922,30026,,5946162,473734,2711628,6584282166,22
2020,New York,state,830,672,158,15,14,1,18,14,4,54,181015314,866442,,100750407,79398465,50111036,72816196684,267
2020,North Carolina,state,409,402,7,6,6,0,5,5,0,15,27871589,8729398,,16498752,2643438,5668883,15607811031,48
2020,North Dakota,state,32,27,5,1,0,1,0,0,0,6,184015,0,,184015,0,698171,1374445441,5
2020,Ohio,state,1162,826,336,139,95,44,118,86,32,20,75341136,30611816,,44583352,145967,13701708,26187237969,104
2020,Oklahoma,state,312,207,105,21,3,18,16,5,11,13,20626562,1334516,,5700215,13591830,2311631,5173834353,25
2020,Oregon,state,84,74,10,4,4,0,10,10,0,6,2017947,230616,,1787331,0,2565874,11197091390,14
2020,Pennsylvania,state,573,513,60,194,187,7,142,134,8,7,60620845,1493114,,59127731,0,10699497,36002255104,72
2020,Puerto Rico,territory,44,34,10,1,1,0,0,0,0,3,381034,0,,381034,0,810951,2873339415,13
2020,Rhode Island,state,103,87,16,3,2,1,0,0,0,13,5868498,0,,5832584,35914,1255423,2961434109,10
2020,South Carolina,state,336,236,100,21,10,11,14,2,12,10,8104192,241854,,5197264,2665074,1615842,7031608207,14
2020,South Dakota,state,74,66,8,3,1,2,3,1,2,10,810831,463237,,336734,10861,479276,982499940,5
2020,Tennessee,state,244,214,30,20,15,5,6,5,1,33,44456267,1796185,,22999008,19661073,7826023,12258135031,59
2020,Texas,state,1512,1382,130,96,82,14,37,35,2,15,74435337,60514525,,12867176,1053636,21655107,43297652683,161
2020,U.S. Virgin Islands,territory,14,13,1,0,0,0,0,0,0,0,0,0,,0,0,323923,86450380,4
2020,Utah,state,151,116,35,17,6,11,9,3,6,52,2473344,198606,,2167546,107192,2351573,3264010842,15
2020,Vermont,state,72,51,21,16,15,1,4,4,0,8,11733234,54834,,10801629,876771,957670,1795293573,6
2020,Virginia,state,446,444,2,18,16,2,44,43,1,24,28546778,9116380,,9090710,10339688,11483807,10378177032,92
2020,Washington,state,473,413,60,19,9,10,11,6,5,28,12778764,1894733,,7713225,3170806,8427268,14577570938,55
2020,West Virginia,state,215,192,23,5,3,2,4,2,2,6,14887448,91877,,12100261,2695310,1290508,4294691890,19
2020,Wisconsin,state,180,166,14,2,2,0,6,4,2,19,16443724,35334,,13337498,3070892,1431179,9846290921,10
2020,Wyoming,state,54,53,1,3,2,1,1,1,0,6,849322,2100,,847122,100,443354,692031455,4
2021,Alabama,state,43,32,11,4,3,1,11,8,3,6,3547133.22,2435140.29,,1111992.93,0,1489864.74,6830948902,10
2021,Alaska,state,167,152,15,5,5,0,2,2,0,8,2510076.10,1998393.31,,379157.53,132525.26,1683157.58,2301389622,12
2021,Arizona,state,175,146,29,76,67,9,39,33,6,10,2843073.29,518421.10,,1824652.19,500000,4188609.56,17907764164,28
2021,Arkansas,state,191,144,47,20,12,8,15,8,7,20,8090180.14,76650.32,,1347748.88,6665780.94,2835246.13,7659817684,22
2021,California,state,1472,989,483,65,41,24,88,53,35,20,72973624.08,25066372.85,,10275460.57,37631790.66,44307262.15,115690408869,186
2021,Colorado,state,472,409,63,19,3,16,10,2,8,23,7743642.33,193830.01,,7238805.56,311006.76,2918882.90,11185618422,20
2021,Connecticut,state,135,135,0,11,11,0,2,2,0,17,12652680.19,55882.66,,9798846.87,2797950.66,2435107.16,7311806873,13
2021,Delaware,state,527,459,68,10,2,8,9,2,7,11,734355.38,7701.50,,726653.88,0,2173063.95,2514092363,17
2021,District of Columbia,district,91,51,40,8,3,5,4,3,1,10,3377753.20,1594645.09,,1783108.11,0,3212586.04,3618622221,16
2021,Florida,state,809,685,124,50,32,18,35,25,10,22,13071539.71,1038235.77,,10007750.33,2025553.61,17793361.89,28760456851,148
2021,Georgia,state,593,558,35,8,6,2,2,1,1,23,6415508.90,1028494,,3959928.90,1427086,5276711.35,12709068238,47
2021,Hawaii,state,675,542,133,1,1,0,5,4,1,6,1282971.92,1107735.96,,163235.96,12000,1710085.13,2898793908,14
