fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2013,Wisconsin,state,350,339,11,13,10,3,9,8,1,2,54757244,54750,54702494,,,1274531.12,7390660088,11
2013,Wyoming,state,59,57,2,4,4,0,3,3,0,17,1623271.63,76387.73,1546883.90,,,489024.26,594690624,4
2014,Alabama,state,44,16,28,11,7,4,6,4,2,10,17988911.38,249298.54,17739612.84,,,1253192.56,5454050260,10
2014,Alaska,state,173,160,13,35,35,0,44,44,0,4,644325.57,535433.49,108892.08,,,1105990.03,1546569264,8
2014,Arizona,state,298,209,89,61,41,20,44,27,17,7,1876381.38,305619.47,1570761.91,,,2316273.90,9452683998,20
2014,Arkansas,state,108,24,84,15,6,9,22,5,17,15,2228764.66,127656,2101108.66,,,2454099.72,5154278818,22
2014,California,state,1194,671,523,114,53,61,97,59,38,20,77622974.52,22713170.28,54909804.24,,,26158835.03,68248444914,193
2014,Colorado,state,260,255,5,6,6,0,10,9,1,26,9999945.37,84090,9915855.37,,,1615524.84,6265152763,17
2014,Connecticut,state,62,59,3,12,12,0,8,8,0,18,3030886.46,17599.12,3013287.34,,,1989924.12,7167946629,13
2014,Delaware,state,624,538,86,16,1,15,11,0,11,21,1949633.53,106816.07,1842817.46,,,1944099.15,1805108123,17
2014,District of Columbia,district,248,170,78,27,25,2,3,2,1,12,3973338.22,7672.48,3965665.74,,,2708823.90,2524458778,21
2014,Florida,state,665,600,65,81,55,26,61,42,19,34,91881130.81,3989921.37,87891209.44,,,15506673.66,20818233200,161
2014,Georgia,state,414,410,4,4,4,0,10,10,0,23,48703251.01,7776456.19,40926794.82,,,4523319.47,9858134878,46
2014,Hawaii,state,68,20,48,9,0,9,10,4,6,8,3079615.23,61241.26,3018373.97,,,1301425.29,2049769576,13
2014,Idaho,state,124,118,6,9,7,2,11,11,0,10,801857.53,104933.38,696924.15,,,656936.78,1692361521,8
2014,Illinois,state,311,230,81,56,42,14,76,53,23,23,90872897.09,1202159.97,89670737.12,,,7719034.17,17726308920,45
2014,Indiana,state,1272,941,331,66,55,11,29,22,7,30,54591556.99,2324000.85,52267556.14,,,6119574,9600134668,55
2014,Iowa,state,270,249,21,48,33,15,44,28,16,16,24403657.64,987348.24,23416309.40,,,1020053.20,4110153654,8
2014,Kansas,state,101,95,6,28,25,3,16,13,3,22,27437135.25,150269.17,27286866.08,,,1330521.73,2933837600,14
2014,Kentucky,state,145,118,27,27,14,13,18,14,4,18,66222772.25,1141643.13,65081129.12,,,2989940.10,8017227454,28
2014,Louisiana,state,425,366,59,132,118,14,76,65,11,40,245305060,118815109,126489951,,,5134743.68,7337796633,52
2014,Maine,state,39,31,8,10,6,4,7,5,2,12,9776295.20,19168,9757127.20,,,728261.61,2528826380,8
2014,Maryland,state,314,283,31,13,6,7,12,6,6,22,41493941.04,48049.37,41445891.67,,,3510342,9625821402,31
2014,Massachusetts,state,612,500,112,7,7,0,22,19,3,21,59771098.02,4658134.34,55112963.68,,,5470721,14952760958,41
2014,Michigan,state,531,483,48,39,32,7,25,17,8,16,46562340.96,116478.70,46445862.26,,,5392508.51,14147522772,33
2014,Minnesota,state,173,170,3,25,23,2,20,20,0,19,18518275.21,806716.32,17711558.89,,,1539616.87,10429856324,16
2014,Mississippi,state,668,79,589,34,3,31,41,5,36,11,17314765.90,299775.38,17014990.52,,,3318064,5016224369,33
2014,Missouri,state,230,207,23,10,9,1,8,8,0,23,8224673.47,176420.80,8048252.67,,,2047671.44,9238680706,21
2014,Montana,state,28,26,2,7,5,2,1,1,0,12,438209.11,26746.15,411462.96,,,721553.25,1146046567,8
2014,Nebraska,state,130,104,26,16,8,8,7,4,3,15,10058619.95,19542.16,10039077.79,,,881048.80,1907477721,9
2014,Nevada,state,23,21,2,8,8,0,14,12,2,15,11292356.58,1080006.72,10212349.86,,,1887577.46,2431932881,18
2014,New Hampshire,state,40,33,7,2,1,1,3,0,3,4,4409810.30,22780.47,4387029.83,,,724113.05,1420746975,7
2014,New Jersey,state,418,395,23,20,15,5,10,7,3,13,45632565.79,1105245,44527320.79,,,4442399.61,13193930655,31
2014,New Mexico,state,195,192,3,4,4,0,4,4,0,21,9389207.60,29693.02,9359514.58,,,1851072.67,4349892086,18
2014,New York,state,746,618,128,142,62,80,118,53,65,66,378434543,2452239,375982304,,,45814464.43,53915930694,294
2014,North Carolina,state,455,439,16,8,5,3,10,8,2,15,72432176.86,20362132.81,52070044.05,,,5190480.80,12655046228,44
2014,Ohio,state,1190,903,287,151,125,26,128,111,17,32,71168788.50,4779629.76,66389158.74,,,8830152.53,20223303745,89
2014,Oklahoma,state,253,186,67,22,14,8,17,9,8,15,18420992.06,447889.99,17973102.07,,,2391463,4925190754,22
2014,Oregon,state,82,69,13,34,29,5,28,26,2,13,17025308.47,710316.73,16314991.74,,,2067043.64,7291147501,15.50
2014,Pennsylvania,state,328,315,13,66,66,0,46,46,0,12,5707431.30,1354491.20,4352940.10,,,5352554.37,24414853435,44
2014,Rhode Island,state,51,32,19,12,5,7,20,13,7,7,3677355.38,18417.41,3658937.97,,,1192427.99,2566378392,11
2014,South Carolina,state,180,146,34,11,8,3,18,11,7,16,27403805.39,519381.02,26884424.37,,,1426802.68,5596632601,16
2014,South Dakota,state,49,46,3,1,1,0,1,1,0,6,3853755.60,566,3853189.60,,,409564,840849947,5
2014,Tennessee,state,241,198,43,31,15,16,19,14,5,22,62298836.50,3979297.78,58319538.72,,,4053210.93,9654242145,35
2014,Texas,state,1303,1177,126,122,100,22,90,85,5,17,106075376.19,82758688.05,23316688.14,,,16502689.27,32831310090,175
2014,Utah,state,132,115,17,5,3,2,5,3,2,18,23725403,116355,23609048,,,1830431.32,2234539587,13
2014,Vermont,state,100,82,18,18,18,0,12,12,0,10,976625.85,145457,831168.85,,,850205.92,1570053514,7
2014,Virginia,state,389,373,16,51,45,6,34,30,4,23,64743020.95,1746159.48,62996861.47,,,11757417.96,7980183305,93
2014,Washington,state,175,167,8,18,16,2,13,12,1,14,24073513.49,255560,23817953.49,,,3905815,7522374478,32
2014,West Virginia,state,125,96,29,20,8,12,9,7,2,17,19608914.14,4160695.44,15448218.70,,,1267131.57,3488266696,21
2014,Wisconsin,state,390,383,7,5,5,0,8,7,1,10,49010312,550803,48459509,,,1359678.77,7783215463,12
2014,Wyoming,state,57,55,2,3,3,0,6,5,1,10,1516673.20,46988.59,1469684.61,,,485828.73,594519949,4
2015,Alabama,state,48,39,9,17,8,9,9,5,4,5,5072877.99,422077.60,,4650800.39,0,1357240.37,5495672054,10
2015,Alaska,state,130,129,1,32,32,0,15,15,0,8,2463747.85,2403648.48,,60099.37,0,1279524.63,1223950911,10
2015,Arizona,state,103,84,19,77,56,21,48,24,24,17,2358072.31,423572.44,,1934499.87,0,2811988.13,10895032291,20
2015,Arkansas,state,110,69,41,34,21,13,22,11,11,14,2237104.80,488654.52,,1584347.48,164102.80,2460200.26,5852914637,20
2015,California,state,1725,1082,643,246,138,108,115,59,56,22,57902898.55,26164225.21,,29732837.49,2005835.85,32138721.04,90614357683,182
2015,Colorado,state,271,271,0,8,8,0,9,9,0,44,4707134.76,660651.13,,3739443.25,307040.38,1651017.67,7687605872,16
2015,Connecticut,state,82,78,4,8,8,0,7,6,1,12,2027005.84,48721.22,,1582975.25,395309.37,2108289.10,7597012987,12
