fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2015,Connecticut,yes,7597012987,2108289.10,2027005.84,12
2015,Delaware,yes,2023509108,1893364,1093390.28,16
2015,Florida,yes,21909678011,16910095.30,57665128.62,160
2015,Georgia,yes,10245084441,4804982.44,16316307.76,42
2015,Hawaii,yes,2076761775,1317826.87,2385140.31,14
2015,Idaho,yes,1819959694,873359.08,796796.34,9
2015,Illinois,yes,17963860929,7622226.52,16902136.39,41
2015,Indiana,yes,9721569345,5916915.29,28192406.62,60
2015,Iowa,yes,4672288367,1074819,10799277.81,10
2015,Kansas,yes,3193745137,1192686.80,4596228.24,13
2015,Kentucky,yes,9666336070,3393619.19,2904550.93,29
2015,Louisiana,yes,8152272103,5263527.13,17905243,50
2015,Maine,yes,2620426632,764428.85,1203259.28,7
2015,Maryland,yes,9881703513,3697013.76,4463044,30
2015,Massachusetts,yes,16164091522,5364610,17572910.47,45
2015,Michigan,yes,16561360132,5630862.10,6345522.67,32
2015,Minnesota,yes,11294848324,1765978.98,1985577.03,19
2015,Mississippi,yes,5313720236,3473671,14838348.02,35
2015,Missouri,yes,9868941095,2345934.40,12092209.55,23
2015,Montana,yes,1208709907,825258.59,220966.22,7
2015,Nebraska,yes,1973545225,894436.73,671714.86,9
2015,Nevada,yes,3265706343,1932570.96,5344240.46,19
2015,New Hampshire,yes,1840725765,780463.81,486834.66,8
2015,New Jersey,yes,14829609984,3867591.01,3192822.18,28
2015,New Mexico,yes,5083042074,2124374.36,351475.20,19
2015,New York,yes,59681117761,47301283,63347458.37,281
2015,North Carolina,yes,13878014268,5350038.33,23127932.77,49
2015,North Dakota,no,,,,
2015,Ohio,yes,22283505297,10109229.24,18739231.85,94
2015,Oklahoma,yes,4948050867,2481047,7051061.99,24
2015,Oregon,yes,8568555342,2220932.62,597387.18,15
2015,Pennsylvania,yes,24099877747,6106399.73,11702515.05,46
2015,Rhode Island,yes,2729259438,1204591.75,535729.18,12
2015,South Carolina,yes,6027888585,1659501.09,2691882.93,15
2015,South Dakota,yes,860846154,423692,189827.45,5
2015,Tennessee,yes,9506550239,4478991.64,39972847.64,36
2015,Texas,yes,36147676703,17634003.37,210086663,161
2015,Utah,yes,2300014634,1873604.23,6229191,13
2015,Vermont,yes,1666066978,858283.45,213572,7
2015,Virginia,yes,8510779754,11091981.55,11377867.93,100
2015,Washington,yes,11074882616,4159243,5979072.66,35
2015,West Virginia,yes,3835749849,1417821.41,2357065.10,18
2015,Wisconsin,yes,8212122596,1512865.30,33550932,13
2015,Wyoming,yes,621092843,475173.63,44447.95,4
2016,Alabama,yes,5657488854,1379110.89,17034540.56,8
2016,Alaska,yes,1929110081,1394058.06,3093089.09,10
2016,Arizona,yes,11343767402,2770174.03,10525171.97,21
2016,Arkansas,yes,6337245143,2437991.92,9266817.08,16
2016,California,yes,86608583280,32469156.35,136201028.20,185
2016,Colorado,yes,8289970721,2178699.12,14617469.88,14
2016,Connecticut,yes,7790671895,2135726.26,20786362.71,11
2016,Delaware,yes,2003364878,1989706.11,2012899.57,16
2016,Florida,yes,22457578621,17316568.43,165545717.54,156
2016,Georgia,yes,10283904205,4719262.26,31571209.76,44
2016,Hawaii,yes,2271886352,1622502.28,1856104.14,14
2016,Idaho,yes,1794759439,833297.08,2655165.53,7
2016,Illinois,yes,20172293337,7137131.01,35478915.47,41
2016,Indiana,yes,10901014576,6484688.25,36928400.57,58
2016,Iowa,yes,4914249752,1133997.38,10656073.36,10
2016,Kansas,yes,3421881490,1337183.28,9274992.24,14
2016,Kentucky,yes,9893628407,3415841.87,47635512.82,30
2016,Louisiana,yes,8837228184,5710826.44,40374660,54
2016,Maine,yes,2636443851,910641.36,24387068.48,8
2016,Maryland,yes,10819233860,3843664.37,10396358.71,33
2016,Massachusetts,yes,17865505404,5394276,82844081.63,40
2016,Michigan,yes,17438676650,5053298.80,32312718.31,32
2016,Minnesota,yes,11544958884,2367286.76,26129644.93,24
2016,Mississippi,yes,5563413438,3406068,19821843.83,35
2016,Missouri,yes,10201941673,2215565.57,13494876.21,24
2016,Montana,yes,1446698958,679021.03,1593763.19,6
2016,Nebraska,yes,2092993865,934566.63,19443143.22,9
2016,Nevada,yes,3520421319,2093049.97,2389470.66,19
2016,New Hampshire,yes,2076589333,770510.46,2058998.72,8
2016,New Jersey,yes,15080356828,3899420.07,47320817.76,35
2016,New Mexico,yes,5537037048,2190670.51,6205202.93,21
2016,New York,yes,62909519309,47018833,228866107.30,298
2016,North Carolina,yes,12821165394,5944944.05,80416129.29,51
2016,North Dakota,no,,,,
2016,Ohio,yes,22485693773,11278342.59,64010493.16,94
2016,Oklahoma,yes,4698727448,2433433.77,21469406.63,23
2016,Oregon,yes,8814205907,2380639.14,10312943.89,16
2016,Pennsylvania,yes,28220307793,7415937.35,42140799.87,46
2016,Rhode Island,yes,2626681914,1326222.62,6373535.32,12
2016,South Carolina,yes,6230510941,1704531.45,16495835.27,16
2016,South Dakota,yes,875472076,438342.80,2319912.26,5
2016,Tennessee,yes,9928469426,4828604.12,105835520.75,36
2016,Texas,yes,41068187142,18832569.54,128257249.23,165
2016,Utah,yes,2251931573,2056784.58,10033408,13
2016,Vermont,yes,1768236337,928834.98,7907487,7
