fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2014,Connecticut,7167946629,1989924.12,3030886.46,13
2014,Delaware,1805108123,1944099.15,1949633.53,17
2014,Florida,20818233200,15506673.66,91881130.81,161
2014,Georgia,9858134878,4523319.47,48703251.01,46
2014,Hawaii,2049769576,1301425.29,3079615.23,13
2014,Idaho,1692361521,656936.78,801857.53,8
2014,Illinois,17726308920,7719034.17,90872897.09,45
2014,Indiana,9600134668,6119574,54591556.99,55
2014,Iowa,4110153654,1020053.20,24403657.64,8
2014,Kansas,2933837600,1330521.73,27437135.25,14
2014,Kentucky,8017227454,2989940.10,66222772.25,28
2014,Louisiana,7337796633,5134743.68,245305060,52
2014,Maine,2528826380,728261.61,9776295.20,8
2014,Maryland,9625821402,3510342,41493941.04,31
2014,Massachusetts,14952760958,5470721,59771098.02,41
2014,Michigan,14147522772,5392508.51,46562340.96,33
2014,Minnesota,10429856324,1539616.87,18518275.21,16
2014,Mississippi,5016224369,3318064,17314765.90,33
2014,Missouri,9238680706,2047671.44,8224673.47,21
2014,Montana,1146046567,721553.25,438209.11,8
2014,Nebraska,1907477721,881048.80,10058619.95,9
2014,Nevada,2431932881,1887577.46,11292356.58,18
2014,New Hampshire,1420746975,724113.05,4409810.30,7
2014,New Jersey,13193930655,4442399.61,45632565.79,31
2014,New Mexico,4349892086,1851072.67,9389207.60,18
2014,New York,53915930694,45814464.43,378434543,294
2014,North Carolina,12655046228,5190480.80,72432176.86,44
2014,Ohio,20223303745,8830152.53,71168788.50,89
2014,Oklahoma,4925190754,2391463,18420992.06,22
2014,Oregon,7291147501,2067043.64,17025308.47,15.50
2014,Pennsylvania,24414853435,5352554.37,5707431.30,44
2014,Rhode Island,2566378392,1192427.99,3677355.38,11
2014,South Carolina,5596632601,1426802.68,27403805.39,16
2014,South Dakota,840849947,409564,3853755.60,5
2014,Tennessee,9654242145,4053210.93,62298836.50,35
2014,Texas,32831310090,16502689.27,106075376.19,175
2014,Utah,2234539587,1830431.32,23725403,13
2014,Vermont,1570053514,850205.92,976625.85,7
2014,Virginia,7980183305,11757417.96,64743020.95,93
2014,Washington,7522374478,3905815,24073513.49,32
2014,West Virginia,3488266696,1267131.57,19608914.14,21
2014,Wisconsin,7783215463,1359678.77,49010312,12
2014,Wyoming,594519949,485828.73,1516673.20,4
2015,Alabama,5495672054,1357240.37,5072877.99,10
2015,Alaska,1223950911,1279524.63,2463747.85,10
2015,Arizona,10895032291,2811988.13,2358072.31,20
2015,Arkansas,5852914637,2460200.26,2237104.80,20
2015,California,90614357683,32138721.04,57902898.55,182
2015,Colorado,7687605872,1651017.67,4707134.76,16
2015,Connecticut,7597012987,2108289.10,2027005.84,12
2015,Delaware,2023509108,1893364,1093390.28,16
2015,Florida,21909678011,16910095.30,57665128.62,160
2015,Georgia,10245084441,4804982.44,16316307.76,42
2015,Hawaii,2076761775,1317826.87,2385140.31,14
2015,Idaho,1819959694,873359.08,796796.34,9
2015,Illinois,17963860929,7622226.52,16902136.39,41
2015,Indiana,9721569345,5916915.29,28192406.62,60
2015,Iowa,4672288367,1074819,10799277.81,10
2015,Kansas,3193745137,1192686.80,4596228.24,13
2015,Kentucky,9666336070,3393619.19,2904550.93,29
2015,Louisiana,8152272103,5263527.13,17905243,50
2015,Maine,2620426632,764428.85,1203259.28,7
2015,Maryland,9881703513,3697013.76,4463044,30
2015,Massachusetts,16164091522,5364610,17572910.47,45
2015,Michigan,16561360132,5630862.10,6345522.67,32
2015,Minnesota,11294848324,1765978.98,1985577.03,19
2015,Mississippi,5313720236,3473671,14838348.02,35
2015,Missouri,9868941095,2345934.40,12092209.55,23
2015,Montana,1208709907,825258.59,220966.22,7
2015,Nebraska,1973545225,894436.73,671714.86,9
2015,Nevada,3265706343,1932570.96,5344240.46,19
2015,New Hampshire,1840725765,780463.81,486834.66,8
2015,New Jersey,14829609984,3867591.01,3192822.18,28
2015,New Mexico,5083042074,2124374.36,351475.20,19
2015,New York,59681117761,47301283,63347458.37,281
2015,North Carolina,13878014268,5350038.33,23127932.77,49
2015,Ohio,22283505297,10109229.24,18739231.85,94
2015,Oklahoma,4948050867,2481047,7051061.99,24
2015,Oregon,8568555342,2220932.62,597387.18,15
2015,Pennsylvania,24099877747,6106399.73,11702515.05,46
2015,Rhode Island,2729259438,1204591.75,535729.18,12
2015,South Carolina,6027888585,1659501.09,2691882.93,15
2015,South Dakota,860846154,423692,189827.45,5
2015,Tennessee,9506550239,4478991.64,39972847.64,36
2015,Texas,36147676703,17634003.37,210086663,161
2015,Utah,2300014634,1873604.23,6229191,13
2015,Vermont,1666066978,858283.45,213572,7
2015,Virginia,8510779754,11091981.55,11377867.93,100
2015,Washington,11074882616,4159243,5979072.66,35
2015,West Virginia,3835749849,1417821.41,2357065.10,18
2015,Wisconsin,8212122596,1512865.30,33550932,13
