fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2023,Nevada,5767822220,2773153,4429292.44,19
2023,New Hampshire,2592839761,921481,174612.14,8
2023,New Jersey,23332486706,6575561,7795878.86,29
2023,New Mexico,8472955496,3229730,137461.88,24
2023,New York,94601679054,55964293,73204517.97,257
2023,North Carolina,20451882615,6924305,43626378.67,47
2023,North Dakota,1613379327,968329,3340.63,7
2023,Ohio,32851727654,15996716,22607684.54,102
2023,Oklahoma,8854437969,3353370,2951918.11,25
2023,Oregon,15327891373,4097000,30309176.90,18
2023,Pennsylvania,44971355512,11049587,20115260.32,71
2023,Rhode Island,3685175562,1202585,232396.50,10
2023,South Carolina,8871688570,2574832,1298036.57,19
2023,South Dakota,1263615866,494659,250566.93,5
2023,Tennessee,13434201648,9236731,42953624.32,57
2023,Texas,58422862375,24617759,283141068.88,147
2023,Utah,4728174660,3250291,2225121.55,19
2023,Vermont,2174979993,1473791,177977,9
2023,Virginia,21599145038,14295387,14594631.85,94
2023,Washington,19498539690,9859549,2295369.58,55
2023,West Virginia,5690158919,2377529,1311704.57,25
2023,Wisconsin,12532534415,1716499,7139695,10
2023,Wyoming,777634001,488861,604586.38,4
2024,Alabama,8402246395,1637160.92,482403.25,7
2024,Alaska,2903998205,1972546.71,239448.06,12
2024,Arizona,20388207470,5370868.91,74611715.82,33
2024,Arkansas,8313192411,3973339.71,3114222.64,22
2024,California,157098115172.10,69208433.41,583830457.43,270
2024,Colorado,14674282245,4317938.39,3914483.34,25
2024,Connecticut,11295095591,3025704.61,6463993.63,13
2024,Delaware,3340013477,2715977.27,10781129.38,18
2024,Florida,35906458788,21343781.69,76220595.13,141
2024,Georgia,15577343261,6271433.71,86841410.54,46
2024,Hawaii,3235615999,2339255.39,10340.80,13
2024,Idaho,4050629368,1120010.35,1146717.23,8
2024,Illinois,33747393898,6647049.38,1861477.76,39
2024,Indiana,20020602077,8593822.37,3292362.95,59
2024,Iowa,8873891969,1227190.24,2216803.50,9
2024,Kansas,5412711075,2172864.38,146967.66,17
2024,Kentucky,18302226947,4954230.16,30378269.67,32
2024,Louisiana,17179873718,8925148.60,63582815.76,63
2024,Maine,4731878956,1842715.21,236304.29,10
2024,Maryland,18454924113,6916159.79,18897116.38,42
2024,Massachusetts,26192755044,7303491.39,19795696.44,43
2024,Michigan,25357658261,7092157.03,4767761.93,34
2024,Minnesota,19328609948,4756833.33,16672513.15,28
2024,Mississippi,7356967378,4220119,9254549.72,30
2024,Missouri,16445334330,2496662.38,5148281.38,22
2024,Montana,2504417999,1058040.95,11539344.46,7
2024,Nebraska,3839619333,1352423.27,1340795.98,9
2024,Nevada,6175562821,3505034.41,7108542.26,20
2024,New Hampshire,2621947677,1013239.97,143541.83,7
2024,New Jersey,24217228219,7628776.09,9820191.73,32
2024,New Mexico,8490310931,3666259.98,88380.79,25
2024,New York,98177794119,56650719.76,59913804.73,262
2024,North Carolina,30213413903,7219896.24,21021953.10,51
2024,North Dakota,1526106243,1191941.49,160714.78,9
2024,Ohio,35202561948,16932095.93,17106840.87,105
2024,Oklahoma,9324676370,4286464.69,711120.86,26
2024,Oregon,16993042692,4521535.90,5199568.59,19
2024,Pennsylvania,44432259542,12865019.20,11325616,75
2024,Rhode Island,3724826196,1244089.90,168007.41,9
2024,South Carolina,10239545186,2840646.47,11869014.35,20
2024,South Dakota,1600448228,818693.89,1056789.29,9
2024,Tennessee,14345332011,10819400.48,26749052.33,58
2024,Texas,49398376058,25118839.16,111800768.86,150
2024,Utah,5104329509,4047287,3995367.62,19
2024,Vermont,2336362561,1699488,583668,9
2024,Virginia,22354412784,15296222.88,4796455.09,92
2024,Washington,21318488278,11567318.09,4244633.49,57
2024,West Virginia,5110871376,2449268.84,12505242.43,23
2024,Wisconsin,12770801034,1884029.35,236162,11
2024,Wyoming,830736672,543642.58,767643.97,4
2025,Alabama,8374093705,1529686,2931852.82,7
2025,Alaska,3243857563,1922364,1188457.61,12
2025,Arizona,22057222999,5933688,49346658.50,31
2025,Arkansas,8916484909,3927409,3548244.54,23
2025,California,173402740079,74421308,102126213.24,290
2025,Colorado,16491671590,4714737,57952277.93,24
2025,Connecticut,11700323441,2913997,6863359.18,13
2025,Delaware,3400556094,2784035,619300.30,17
2025,Florida,39343020827,22670000,107607791.86,137
2025,Georgia,19692323128,6452683,46517386.12,43
2025,Hawaii,3179232183,2723324,453950.81,14
2025,Idaho,4166928923,1293821,900756.39,10
2025,Illinois,36162720636,10402644,18234544.79,46
2025,Indiana,20451801865.63,8992920,144624717.84,56
2025,Iowa,8730795511,1359821,2356291.18,10
2025,Kansas,6499395021,2219809,369231.23,16
2025,Kentucky,20474891648,5098879,22037515.90,32
2025,Louisiana,15800467858,9951037,17067306.55,71
2025,Maine,5202740853,1919296,343479.02,10
2025,Maryland,18707422995,8520996,3353448.55,46
2025,Massachusetts,28725529750,7595661,139892852.19,39
2025,Michigan,27306729224,6798542,17319947.35,33
2025,Minnesota,21425262865,3029997,24489409.04,31
2025,Mississippi,7708650323,4206137,1171831.11,35
2025,Missouri,17112335013,2961340,4507016.45,21
2025,Montana,2633116628,930818,711088.63,9
2025,Nebraska,4371961508,1374481,1230809.55,11
2025,Nevada,7313148496,3212939,18522530.30,20
2025,New Hampshire,3067222160,1015483,356807.56,6
2025,New Jersey,25938962820,6971759,30779902.23,39
2025,New Mexico,10469835269,4327657,4939984.86,25
2025,New York,102699327635,60127440,110479748.54,272
2025,North Carolina,34499338580,8700660,16642399.22,57
2025,North Dakota,1779879134,1335345,1873182.81,8
2025,Ohio,38633859310,18598752,25781577.92,106
2025,Oklahoma,10764531356,3913945,2902279.96,29
2025,Oregon,18871621324,4761446,13651360.76,20
2025,Pennsylvania,49525316416,12669975,41102003.33,72
2025,Rhode Island,4293750650,1306842,1582526.60,10
2025,South Carolina,10266023300,3722700,22100695.93,23
2025,South Dakota,1863929509,1011812,225578.04,9
2025,Tennessee,17782976844,12695439,16738706.73,64
2025,Texas,54954650308,27581869,151926473.65,146
2025,Utah,5320171956,4250065,2727899.17,22
2025,Vermont,2425399608,1709830,3052717,9
2025,Virginia,23020073906,15504864,671436386.89,95
2025,Washington,23122567069,13876463,45117253.27,61
2025,West Virginia,5872002604,2722613,1829578.50,22
2025,Wisconsin,13822805529,2237204,1918593,14
2025,Wyoming,846575653,632223,1525358.07,4
