geography,model_family,model,model_details,train_end_year,test_start_year,test_end_year,mae,rmse,mape,selection_reason
Michigan,time_series,prophet,linear_growth_no_seasonality,2022,2023,2025,1742600946.76,1867808861.48,6.71,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,linear_growth_no_seasonality,2022,2023,2025,6119587188.18,8110079553.23,0.64,Selected as lowest-MAPE model on the 2023-2025 holdout window.
