geography,model,model_details,train_end_year,test_start_year,test_end_year,mae,rmse,mape
Michigan,arima,"order=(2, 2, 0); rolling_cv_mape=3.39",2022,2023,2025,2989438536.21,3215609455.08,11.51
Michigan,holt_winters,holt_winters_additive; rolling_cv_mape=2.87,2022,2023,2025,1848128326.09,1983664304.31,7.12
Michigan,prophet,linear_growth_no_seasonality; changepoint_prior_scale=0.05; n_changepoints=5; rolling_cv_mape=1.12,2022,2023,2025,1838739450.41,1974614390.01,7.08
United States,arima,"order=(1, 2, 1); rolling_cv_mape=2.82",2022,2023,2025,30200907596.88,32700961463.01,3.10
United States,holt_winters,holt_winters_additive_damped; rolling_cv_mape=5.87,2022,2023,2025,25222513087.28,27538941275.82,2.59
United States,prophet,linear_growth_no_seasonality; changepoint_prior_scale=0.50; n_changepoints=5; rolling_cv_mape=4.76,2022,2023,2025,7083680428.23,9302608106.34,0.74
